,mean_d18O,mean_d2H,mean_DEX,stdev_d18O,stdev_d2H,stdev_DEX,month,year,lat,lon,SITE_ID,type,volumes,fraction
1,-15.51,-114,10.08,0.070710678,0.212132034,0.325269119,6,2015,40.556296,-111.853369,JVWCD-001,Distribution_site,,
2,-16.595,-123.79,8.965,0.021213203,0.141421356,0.021213203,6,2015,40.653687,-111.853077,JVWCD-002,Distribution_site,,
3,-15.65,-115.08,10.12,0.05828,0.16682,0.234523729,6,2015,40.498096,-111.891647,JVWCD-003,Distribution_site,,
4,-16.7,-124.05,9.54,0.02018,0.03991,0.069646732,6,2015,40.629605,-111.852024,JVWCD-004,Distribution_site,,
5,-15.4,-118.46,4.72,0.01948,0.09506,0.109873413,6,2015,40.49752,-112.005697,JVWCD-005,Distribution_site,,
6,-15.39,-118.17,4.92,0.03335,0.19891,0.220143063,6,2015,40.494011,-112.011239,JVWCD-006,Distribution_site,,
7,-15.64,-113.73,11.41,0.01718,0.1429,0.150935845,6,2015,40.543768,-111.829323,JVWCD-008,Distribution_site,,
8,-15.53,-113.95,10.32,0.0247,0.20803,0.21944749,6,2015,40.594998,-111.824342,JVWCD-010,Distribution_site,,
9,-15.51,-115.72,8.34,0.0107,0.14977,0.152797163,6,2015,40.663761,-111.816449,JVWCD-011,Distribution_site,,
10,-15.43,-118.63,4.83,0.11267,0.36749,0.486420735,6,2015,40.638609,-111.957308,JVWCD-012,Distribution_site,,
11,-16.13,-119.74,9.29,0.06841,0.26355,0.326952638,6,2015,40.695068,-111.882332,JVWCD-013,Distribution_site,,
12,-15.42,-118.48,4.865,0.042426407,0.127279221,0.233345238,6,2015,40.54415,-111.967989,JVWCD-014,Distribution_site,,
13,-15.415,-118.26,5.055,0.049497475,0.282842712,0.091923882,6,2015,40.638463,-111.966966,JVWCD-015,Distribution_site,,
14,-15.46,-118.66,5,0.011,0.1145,0.118651802,6,2015,40.698125,-111.9112,JVWCD-016,Distribution_site,,
15,-15.43,-118.55,4.92,0.05953,0.31538,0.357512394,6,2015,40.695765,-111.898175,JVWCD-017,Distribution_site,,
16,-15.37,-118.48,4.47,0.03852,0.10073,0.148380781,6,2015,40.566134,-111.976416,JVWCD-018,Distribution_site,,
17,-15.51,-115.54,8.53,0.0418,0.10875,0.160637737,6,2015,40.69434,-111.920715,JVWCD-019,Distribution_site,,
18,-15.45,-118.1933333,5.416666667,0.036055513,0.187705443,0.120554275,6,2015,40.726782,-111.979864,JVWCD-020,Distribution_site,,
19,-15.46,-118.6,5.04,0.05476,0.38487,0.414866458,6,2015,40.689383,-111.893975,JVWCD-021,Distribution_site,,
20,-16.11,-119.15,9.73,0.04577,0.16882,0.212742416,6,2015,40.678411,-111.880073,JVWCD-022,Distribution_site,,
21,-15.52,-118.84,5.3,0.11276,0.37502,0.492299239,6,2015,40.684775,-111.882575,JVWCD-023,Distribution_site,,
22,-15.64,-116.73,8.38,0.01753,0.14181,0.150228104,6,2015,40.684304,-111.911173,JVWCD-024,Distribution_site,,
23,-16.18,-120.08,9.36,0.05461,0.26807,0.309385749,6,2015,40.682745,-111.876451,JVWCD-025,Distribution_site,,
24,-15.57,-119.02,5.53,0.04446,0.26003,0.288841018,6,2015,40.682916,-111.899196,JVWCD-026,Distribution_site,,
25,-15.45,-118.32,5.26,0.07084,0.13357,0.240805709,6,2015,40.67476,-111.981562,JVWCD-027,Distribution_site,,
26,-16.11,-119.14,9.72,0.08787,0.40425,0.47453889,6,2015,40.670696,-111.87062,JVWCD-028,Distribution_site,,
27,-15.8,-115.85,10.58,0.11067,0.23418,0.390925906,6,2015,40.668282,-111.806132,JVWCD-029,Distribution_site,,
28,-15.46,-118.28,5.4,0.014142136,0.155563492,0.042426407,6,2015,40.667402,-112.005725,JVWCD-030,Distribution_site,,
29,-15.48,-118.68,5.13,0.11829,0.37494,0.502513877,6,2015,40.522978,-112.009369,JVWCD-031,Distribution_site,,
30,-15.685,-115.57,9.895,0.049497475,1.216223664,0.799030663,6,2015,40.661895,-111.821229,JVWCD-032,Distribution_site,,
31,-15.62,-113.82,11.12,0.01572,0.04988,0.066820368,6,2015,40.615073,-111.877101,JVWCD-033,Distribution_site,,
32,-15.53,-118.65,5.59,0.04182,0.23492,0.263018451,6,2015,40.499419,-112.012828,JVWCD-034,Distribution_site,,
33,-15.7,-114.62,10.99,0.09214,0.45828,0.527199009,6,2015,40.658513,-111.859695,JVWCD-035,Distribution_site,,
34,-15.68,-119.39,6.06,0.05474,0.34947,0.382231634,6,2015,40.694437,-111.905426,JVWCD-036,Distribution_site,,
35,-15.63,-115.53,9.5,0.04569,0.03917,0.135036653,6,2015,40.653032,-111.861725,JVWCD-037,Distribution_site,,
